# The physical locations of oNCOs found in the probands of this study are supplied in
# this file along with information about the number of MPPs within the oNCO, family
# size and whether oNCO is unambiguously assigned to owner. Ambiguously assigned
# oNCOs are not used for analysis of allele selection bias and DNMs colocation.
# The data columns are as follows: 
# Chr (chromosome),
# Begin (GRCh38 position of earliest converted variant in oNCO),
# End (GRCh38 position of last converted variant in oNCO),
# pid (proband ID),
# ptype (transmitting parent, P: paternal, M: maternal),
# event_id (unique ID for oNCO)
# MPPs (number of MPPs within oNCO),
# gcMPPs (number of gene-converted MPPs within oNCO),
# sibs (number of siblings with same parents),
# AO (ambiguous owner of oNCO - only in 2-children families),
Chr	Begin	End	pid	ptype	event_id	MPPs	gcMPPs	sibs	AO
chr1	1005904	1008307	P0AA21	M	X02533	2	2	2	0
chr1	1026447	1026447	P07FDF	P	Y0083B	1	1	9	0
chr1	1089890	1089890	P06F1F	P	Y00A61	1	1	5	0
chr1	1169858	1169858	P06897	P	Y0271E	1	1	4	0
chr1	1169858	1169858	P0793E	P	Y016BF	1	1	3	0
chr1	1169858	1169858	P0A72B	P	Y02AE7	1	1	2	0
chr1	1170341	1170341	P0CF6D	P	Y02014	1	1	4	0
chr1	1184277	1184277	P0E0B4	P	Y02B35	1	1	2	0
chr1	1185156	1185156	P06DCC	M	X02343	1	1	2	0
chr1	1193982	1193982	P0ABD2	P	Y01A83	1	1	2	0
chr1	1235997	1235997	P0E31C	P	Y02C2D	1	1	3	0
chr1	1242865	1242865	P01CA5	P	Y02A90	1	1	2	0
chr1	1291310	1291310	P0142C	P	Y00145	1	1	2	0
chr1	1431813	1431813	P051F6	M	X0325D	1	1	2	0
chr1	1570655	1585173	P01A9E	P	Y006F6	3	3	2	0
chr1	1583825	1583825	P08FFA	P	Y019AB	1	1	4	0
chr1	1842235	1842235	P0B8C6	M	X01FC6	1	1	3	0
chr1	1845840	1845840	P0E6FC	P	Y02AF3	1	1	2	0
chr1	1948037	1948037	P0EFAB	P	Y00A19	1	1	2	0
chr1	1960609	1960609	P014A7	P	Y0289B	1	1	5	0
chr1	1978006	1978006	P016B3	P	Y030C6	1	1	3	0
chr1	1991778	1991778	P0229A	P	Y01F3B	1	1	4	0
chr1	1993346	1993370	P0D6E0	P	Y002D1	2	2	3	0
chr1	2033988	2033988	P0A58E	P	Y00AC2	1	1	2	0
chr1	2045119	2045119	P0761E	P	Y01286	1	1	2	0
chr1	2046191	2046191	P0C267	P	Y009C4	1	1	3	0
chr1	2053253	2053253	P0BEE8	P	Y02F69	1	1	2	0
chr1	2067849	2067849	P0015A	P	Y01F0B	1	1	3	0
chr1	2070417	2070417	P007CD	P	Y01B8D	1	1	2	0
chr1	2102533	2102533	P09EEF	P	Y00221	1	1	2	0
chr1	2102670	2102670	P056E1	P	Y00F6F	1	1	3	0
chr1	2288631	2288631	P0A9FD	P	Y018D1	1	1	3	0
chr1	2322455	2322455	P0E2D5	M	X0298F	1	1	2	0
chr1	2370252	2370252	P0849C	M	X00254	1	1	3	0
chr1	2370252	2370252	P0D9CB	P	Y01059	1	1	2	0
chr1	2394570	2394570	P01E54	P	Y01AB7	1	1	3	0
chr1	2415043	2415043	P07671	P	Y02535	1	1	3	0
chr1	2437336	2437336	P01A5D	P	Y02FC1	1	1	2	0
chr1	2472817	2472817	P045A1	M	X01D98	1	1	2	0
